sku,product_doc_id,unknown_key,unknown_value,all_attributes_json
FD ZAHARA-S-CHO,FD ZAHARA-S-CHO,materials,,"{""descriptive.gender"": ""Mens"", ""_migratedAt"": ""2025-12-09T04:29:58.213000+00:00"", ""_normalizedAt"": ""2025-12-10T05:38:34.420000+00:00"", ""age_group"": ""Adult"", ""brand"": ""fasttester"", ""class"": ""Athletic"", ""mpn"": ""FD ZAHARA-S-CHO"", ""style"": {""id"": ""FD ZAHARA-S-CHO""}, ""fit"": """", ""_migratedVersion"": ""1.0.0"", ""materials"": [], ""category"": ""Basketball"", ""department"": ""Footwear""}"
FD ZAHARA-S-WHT,FD ZAHARA-S-WHT,descriptive.gender,Girls,"{""descriptive.gender"": ""Girls"", ""_migratedAt"": ""2025-12-09T04:29:58.210000+00:00"", ""primary_color"": ""Black"", ""age_group"": ""Kids"", ""brand"": ""asdf"", ""class"": ""Hoodies"", ""mpn"": ""FD ZAHARA-S-WHT"", ""style"": {""id"": ""FD ZAHARA-S-WHT""}, ""fit"": ""True to Size"", ""_migratedVersion"": ""1.0.0"", ""materials"": [""Man-Made""], ""category"": ""Basketball"", ""department"": ""Clothing""}"
FD ZAHARA-S-WHT,FD ZAHARA-S-WHT,style,{'id': 'FD ZAHARA-S-WHT'},"{""descriptive.gender"": ""Girls"", ""_migratedAt"": ""2025-12-09T04:29:58.210000+00:00"", ""primary_color"": ""Black"", ""age_group"": ""Kids"", ""brand"": ""asdf"", ""class"": ""Hoodies"", ""mpn"": ""FD ZAHARA-S-WHT"", ""style"": {""id"": ""FD ZAHARA-S-WHT""}, ""fit"": ""True to Size"", ""_migratedVersion"": ""1.0.0"", ""materials"": [""Man-Made""], ""category"": ""Basketball"", ""department"": ""Clothing""}"
FD ZAHARA-S-WHT,FD ZAHARA-S-WHT,materials,['Man-Made'],"{""descriptive.gender"": ""Girls"", ""_migratedAt"": ""2025-12-09T04:29:58.210000+00:00"", ""primary_color"": ""Black"", ""age_group"": ""Kids"", ""brand"": ""asdf"", ""class"": ""Hoodies"", ""mpn"": ""FD ZAHARA-S-WHT"", ""style"": {""id"": ""FD ZAHARA-S-WHT""}, ""fit"": ""True to Size"", ""_migratedVersion"": ""1.0.0"", ""materials"": [""Man-Made""], ""category"": ""Basketball"", ""department"": ""Clothing""}"
HK12789-LADBLUE,HK12789-LADBLUE,style,,"{""_migratedVersion"": ""1.0.0"", ""mpn"": ""HK12789-LADBLUE"", ""style"": {}, ""_migratedAt"": ""2025-12-09T04:29:58.210000+00:00"", ""primary_color"": ""Blue"", ""brand"": ""Mitchell & Ness""}"
HTG240320BLK,HTG240320BLK,descriptive.gender,,"{""_migratedAt"": ""2025-12-09T04:29:58.208000+00:00"", ""age_group"": """", ""fit"": """", ""class"": """", ""mpn"": ""HTG240320BLK"", ""_migratedVersion"": ""1.0.0"", ""brand"": """", ""category"": """", ""descriptive.gender"": """", ""department"": """"}"
HTG250221BLU,HTG250221BLU,descriptive.gender,Mens,"{""descriptive.gender"": ""Mens"", ""_migratedAt"": ""2025-12-09T04:29:58.209000+00:00"", ""primary_color"": ""Pink"", ""_normalizedAt"": ""2025-12-10T05:38:34.659000+00:00"", ""age_group"": ""Adult"", ""brand"": ""Honor The Gift"", ""class"": ""Hoodies"", ""mpn"": ""HTG250221BLU"", ""style"": {""id"": ""HTG250221BLU""}, ""fit"": """", ""_migratedVersion"": ""1.0.0"", ""materials"": [], ""category"": ""Basketball"", ""department"": ""Clothing""}"
HTG250221BLU,HTG250221BLU,style,{'id': 'HTG250221BLU'},"{""descriptive.gender"": ""Mens"", ""_migratedAt"": ""2025-12-09T04:29:58.209000+00:00"", ""primary_color"": ""Pink"", ""_normalizedAt"": ""2025-12-10T05:38:34.659000+00:00"", ""age_group"": ""Adult"", ""brand"": ""Honor The Gift"", ""class"": ""Hoodies"", ""mpn"": ""HTG250221BLU"", ""style"": {""id"": ""HTG250221BLU""}, ""fit"": """", ""_migratedVersion"": ""1.0.0"", ""materials"": [], ""category"": ""Basketball"", ""department"": ""Clothing""}"
HTG250221BLU,HTG250221BLU,materials,,"{""descriptive.gender"": ""Mens"", ""_migratedAt"": ""2025-12-09T04:29:58.209000+00:00"", ""primary_color"": ""Pink"", ""_normalizedAt"": ""2025-12-10T05:38:34.659000+00:00"", ""age_group"": ""Adult"", ""brand"": ""Honor The Gift"", ""class"": ""Hoodies"", ""mpn"": ""HTG250221BLU"", ""style"": {""id"": ""HTG250221BLU""}, ""fit"": """", ""_migratedVersion"": ""1.0.0"", ""materials"": [], ""category"": ""Basketball"", ""department"": ""Clothing""}"
HTG250221BNE,HTG250221BNE,style,,"{""_migratedVersion"": ""1.0.0"", ""mpn"": ""HTG250221BNE"", ""style"": {}, ""_migratedAt"": ""2025-12-09T04:29:58.219000+00:00"", ""primary_color"": ""Bone"", ""brand"": ""Honor The Gift""}"
JI0080,JI0080,style,,"{""_migratedVersion"": ""1.0.0"", ""mpn"": ""JI0080"", ""style"": {}, ""_migratedAt"": ""2025-12-09T04:29:58.210000+00:00"", ""primary_color"": ""FTWWHT/FTWWHT/FTWWHT"", ""brand"": ""ADIDAS""}"
JK11198-UNCCLBL,JK11198-UNCCLBL,descriptive.gender,,"{""_migratedAt"": ""2025-12-09T04:29:58.212000+00:00"", ""age_group"": """", ""fit"": """", ""class"": """", ""mpn"": ""JK11198-UNCCLBL"", ""_migratedVersion"": ""1.0.0"", ""brand"": """", ""category"": """", ""descriptive.gender"": """", ""department"": """"}"
JP6903,JP6903,style,,"{""_migratedVersion"": ""1.0.0"", ""mpn"": ""JP6903"", ""style"": {}, ""_migratedAt"": ""2025-12-09T04:29:58.209000+00:00"", ""primary_color"": ""WARSAN/CBLACK/OWHITE"", ""brand"": ""ADIDAS""}"
JP9499,JP9499,style,,"{""_migratedVersion"": ""1.0.0"", ""mpn"": ""JP9499"", ""style"": {}, ""_migratedAt"": ""2025-12-09T04:29:58.208000+00:00"", ""primary_color"": ""LTBLUE/FTWWHT/GUM4"", ""brand"": ""ADIDAS""}"
JP9500,JP9500,style,,"{""_migratedVersion"": ""1.0.0"", ""mpn"": ""JP9500"", ""style"": {}, ""_migratedAt"": ""2025-12-09T04:29:58.214000+00:00"", ""primary_color"": ""DRKGRN/BETSCA/GUM4"", ""brand"": ""ADIDAS""}"
JPM AMBRA-23_BLKKPU,JPM AMBRA-23_BLKKPU,descriptive.gender,Women's,"{""descriptive.gender"": ""Women's"", ""_migratedAt"": ""2025-12-09T04:29:58.216000+00:00"", ""primary_color"": ""BLACK"", ""age_group"": ""Adult"", ""brand"": ""J P ORIGINAL"", ""class"": ""Sandals"", ""mpn"": ""JPM AMBRA-23/BLKKPU"", ""style"": {""id"": ""AMBRA-23""}, ""fit"": ""True To Size"", ""_migratedVersion"": ""1.0.0"", ""materials"": [""Synthetic""], ""category"": ""Flat"", ""department"": ""Footwear""}"
JPM AMBRA-23_BLKKPU,JPM AMBRA-23_BLKKPU,style,{'id': 'AMBRA-23'},"{""descriptive.gender"": ""Women's"", ""_migratedAt"": ""2025-12-09T04:29:58.216000+00:00"", ""primary_color"": ""BLACK"", ""age_group"": ""Adult"", ""brand"": ""J P ORIGINAL"", ""class"": ""Sandals"", ""mpn"": ""JPM AMBRA-23/BLKKPU"", ""style"": {""id"": ""AMBRA-23""}, ""fit"": ""True To Size"", ""_migratedVersion"": ""1.0.0"", ""materials"": [""Synthetic""], ""category"": ""Flat"", ""department"": ""Footwear""}"
JPM AMBRA-23_BLKKPU,JPM AMBRA-23_BLKKPU,materials,['Synthetic'],"{""descriptive.gender"": ""Women's"", ""_migratedAt"": ""2025-12-09T04:29:58.216000+00:00"", ""primary_color"": ""BLACK"", ""age_group"": ""Adult"", ""brand"": ""J P ORIGINAL"", ""class"": ""Sandals"", ""mpn"": ""JPM AMBRA-23/BLKKPU"", ""style"": {""id"": ""AMBRA-23""}, ""fit"": ""True To Size"", ""_migratedVersion"": ""1.0.0"", ""materials"": [""Synthetic""], ""category"": ""Flat"", ""department"": ""Footwear""}"
JQ2851,JQ2851,style,,"{""_migratedVersion"": ""1.0.0"", ""mpn"": ""JQ2851"", ""style"": {}, ""_migratedAt"": ""2025-12-09T04:29:58.214000+00:00"", ""primary_color"": ""FTWWHT/SUPCOL/GUM3"", ""brand"": ""ADIDAS""}"
JQ9493,JQ9493,style,,"{""_migratedVersion"": ""1.0.0"", ""mpn"": ""JQ9493"", ""style"": {}, ""_migratedAt"": ""2025-12-09T04:29:58.210000+00:00"", ""primary_color"": ""FTWWHT/CBLACK/DUIN"", ""brand"": ""ADIDAS""}"
JR8848,JR8848,style,,"{""_migratedVersion"": ""1.0.0"", ""mpn"": ""JR8848"", ""style"": {}, ""_migratedAt"": ""2025-12-09T04:29:58.210000+00:00"", ""primary_color"": ""CREWHT/CREWHT/CGREEN"", ""brand"": ""ADIDAS""}"
JS1339,JS1339,style,,"{""_migratedVersion"": ""1.0.0"", ""mpn"": ""JS1339"", ""style"": {}, ""_migratedAt"": ""2025-12-09T04:29:58.217000+00:00"", ""primary_color"": ""CBLACK/SELUFU/CBLACK"", ""brand"": ""ADIDAS""}"
JW0272,JW0272,style,,"{""_migratedVersion"": ""1.0.0"", ""mpn"": ""JW0272"", ""style"": {}, ""_migratedAt"": ""2025-12-09T04:29:58.215000+00:00"", ""primary_color"": ""BETSCA"", ""brand"": ""ADIDAS""}"
JW1226,JW1226,style,,"{""_migratedVersion"": ""1.0.0"", ""mpn"": ""JW1226"", ""style"": {}, ""_migratedAt"": ""2025-12-09T04:29:58.213000+00:00"", ""primary_color"": ""BLACK/BETSCA"", ""brand"": ""ADIDAS""}"
